source,target,value
South Boston Waterfront,West End,1.24517
Cambridgeport,EVERETT_02149,1.246155
Back Bay,Wellington-Harrington,1.2593
Charlestown,East Boston,1.265895
North End,Riverside,1.27485
Jamaica Plain,SOMERVILLE_02143,1.27516
Agassiz,Brighton,1.27535
Allston,East Cambridge,1.279175
Area 2/MIT,North End,1.28145
Dorchester,SOMERVILLE_02145,1.292
Beacon Hill,West Cambridge,1.293745
Chinatown,East Boston,1.31859
Area 2/MIT,Roxbury,1.32086
Chinatown,West End,1.33257
East Cambridge,West End,1.33315
Agassiz,Mid-Cambridge,1.34219
Cambridgeport,Mission Hill,1.3536
Cambridgeport,Longwood Medical Area,1.358455
Beacon Hill,West End,1.369955
EVERETT_02149,Neighborhood Nine,1.3705
Jamaica Plain,Mission Hill,1.37134
Dorchester,Roxbury,1.373615
Back Bay,Riverside,1.37711
Back Bay,Fenway,1.38043
SOMERVILLE_02143,West Cambridge,1.38994
Chinatown,East Cambridge,1.39785
Mission Hill,North Cambridge,1.39989
Fenway,South End,1.40225
BROOKLINE_02446,Riverside,1.40878
Back Bay,Beacon Hill,1.4137
Chinatown,EVERETT_02149,1.41837
BROOKLINE_02445,Longwood Medical Area,1.4398
Agassiz,SOMERVILLE_02143,1.4504
EVERETT_02149,SOMERVILLE_02144,1.45141
Back Bay,Bay Village,1.4555
East Boston,Wellington-Harrington,1.4702
Jamaica Plain,Longwood Medical Area,1.4756
Beacon Hill,Chinatown,1.48204
Cambridgeport,Jamaica Plain,1.4871
SOMERVILLE_02145,South Boston,1.49395
Bay Village,Fenway,1.49532
Mission Hill,SOMERVILLE_02143,1.50395
Brighton,North Cambridge,1.529585
Area 2/MIT,West End,1.52965
SOMERVILLE_02144,The Port,1.53185
Jamaica Plain,Roxbury,1.544105
Dorchester,MEDFORD_02155,1.5523
Fenway,Mission Hill,1.555715
Charlestown,SOMERVILLE_02143,1.56795
South Boston,Wellington-Harrington,1.590285
Roxbury,South End,1.592675
East Boston,East Cambridge,1.593365
East Boston,SOMERVILLE_02145,1.59754
East Cambridge,Longwood Medical Area,1.60455
BROOKLINE_02445,MEDFORD_02155,1.61032
Cambridgeport,Riverside,1.6203
Neighborhood Nine,SOMERVILLE_02144,1.62183
Longwood Medical Area,Mission Hill,1.6253
Cambridgeport,West Cambridge,1.627215
Allston,North Cambridge,1.63525
Mid-Cambridge,North Cambridge,1.635365
Allston,Dorchester,1.63645
Dorchester,North Cambridge,1.640925
Brighton,SOMERVILLE_02143,1.6476
Beacon Hill,South End,1.65495
Mid-Cambridge,SOMERVILLE_02143,1.66995
Dorchester,Mission Hill,1.68015
BROOKLINE_02445,Jamaica Plain,1.69604
