,source,target,value
467,boston_BROOKLINE_02446,boston_BayVillage,0.35453
468,boston_BROOKLINE_02446,boston_BeaconHill,0.241235
469,boston_BROOKLINE_02446,boston_Brighton,1.081325
470,boston_BROOKLINE_02446,boston_Cambridgeport,1.55333
471,boston_BROOKLINE_02446,boston_Charlestown,0.17854
472,boston_BROOKLINE_02446,boston_Chinatown,0.293245
473,boston_BROOKLINE_02446,boston_Dorchester,0.38904
474,boston_BROOKLINE_02446,boston_Downtown,0
475,boston_BROOKLINE_02446,boston_EVERETT_02149,0.33378
476,boston_BROOKLINE_02446,boston_EastBoston,0
477,boston_BROOKLINE_02446,boston_EastCambridge,0.0255825
478,boston_BROOKLINE_02446,boston_Fenway,1.93245
479,boston_BROOKLINE_02446,boston_JamaicaPlain,0.87268
480,boston_BROOKLINE_02446,boston_LeatherDistrict,0.35498
481,boston_BROOKLINE_02446,boston_LongwoodMedicalArea,0.62783
482,boston_BROOKLINE_02446,boston_MEDFORD_02155,0.5438
483,boston_BROOKLINE_02446,boston_MidCambridge,0.376655
484,boston_BROOKLINE_02446,boston_MissionHill,0.67651
485,boston_BROOKLINE_02446,boston_NeighborhoodNine,1.24383
486,boston_BROOKLINE_02446,boston_NorthCambridge,0.34979
487,boston_BROOKLINE_02446,boston_NorthEnd,0.705615
488,boston_BROOKLINE_02446,boston_Riverside,0.786885
489,boston_BROOKLINE_02446,boston_Roxbury,0.477265
490,boston_BROOKLINE_02446,boston_SOMERVILLE_02143,0.71479
491,boston_BROOKLINE_02446,boston_SOMERVILLE_02144,0.90643
492,boston_BROOKLINE_02446,boston_SOMERVILLE_02145,0.949225
493,boston_BROOKLINE_02446,boston_SouthBoston,0.27481
494,boston_BROOKLINE_02446,boston_SouthBostonWaterfront,0.84191
495,boston_BROOKLINE_02446,boston_SouthEnd,0.34927
496,boston_BROOKLINE_02446,boston_ThePort,0.3777
